	Target creature in combat has trample this turn and its power and toughness this turn are each equal to the number of lands you control.	Molimo, Maro-Sorcerer	
	Whenever a creature is put into a graveyard from the battlefield this combat, that creatures controller puts four 1/1 green Hound creature tokens onto the battlefield under their control.	Mongrel Pack	
	At the end of combat, tap all untapped Islands you control and Chaos deals X damage to you, where X is the number of Islands tapped this way.	Monsoon	
	Create a 1/1 red Goblin creature token. Blockers may be reassigned.	Mons's Goblin Raiders	
	All creatures controlled by the attacking player must attack this combat. Attackers and blockers may be reassigned. This effect may not be responded to. Until end of turn, creatures have cycling 1.	Monstrous Carabid	
	Target creature in combat gets +4/+4 this turn.	Monstrous Growth	
	Create a 1/1 green Faerie creature token with flying. Blockers may be reassigned.	Moon Sprite	
	Create a 3/3 black Horror creature token with swampwalk. Blockers may be reassigned.	Moor Fiend	
1	Create a 3/3 white Human Knight creature token with trample. Blockers may be reassigned.	Moorish Cavalry	
	Attacking creatures get +1/+1 this turn.	Morale	
	Exile target creature card from a graveyard, then create X 1/1 green Saproling creature tokens, where X is the exiled card’s toughness. Blockers may be reassigned.	Morbid Bloom	
	Target creature in combat is sacrificed unless its controller pays 1d6 life.	Morinfen	
	If twenty or more creature cards are in your graveyard, you win the game	Mortal Combat	
	When target creature in combat is dealt damage this combat, destroy it.	Mortal Wound	
	Target attacking creature has B: Regenerate and it's power and toughness are each equal to the number of creature cards in all graveyards.	Mortivore	
	Add G to your mana pool until end of turn.	Moss Diamond	
	Create a 3/6 green Elemental creature token. Blockers may be reassigned.	Moss Monster	
	Create a 1/1 red Human Soldier Rogue creature token with haste. Attackers and blockers may be reassigned.	Mountain Bandit	
	Create a 1/1 red Goat creature token with mountainwalk. Blockers may be reassigned.	Mountain Goat	
	Red legendary creatures you control can band with other legendary creatures this combat.	Mountain Stronghold	
	Whenever you play a black spell this combat, put a +1/+1 counter on a creature you control.	Mountain Titan	
	Sacrifice a land. Search your library for a Mountain or Forest card and put it onto the battlefield. Then shuffle your library.	Mountain Valley	
	Create a 3/3 red Yeti creature token with mountainwalk and protection from white. Blockers may be reassigned.	Mountain Yeti	
	Target blocking creature in combat has reach and can block 1d6 additional creatures this combat. Blockers may be reassigned.	Mounted Archers	
	Add G to your mana pool. This mana doesn't empty until end of turn.	Mox Emerald	
	Add B to your mana pool. This mana doesn't empty until end of turn.	Mox Jet	
	Add W to your mana pool. This mana doesn't empty until end of turn.	Mox Pearl	
	Add R to your mana pool. This mana doesn't empty until end of turn.	Mox Ruby	
	Add U to your mana pool. This mana doesn't empty until end of turn.	Mox Sapphire	
	Return target creature in combat to its owner's hand and return target Griffin card in your graveyard to your hand.	Mtenda Griffin	
	Target attacker gets flanking this combat.	Mtenda Herder	
	Prevent all combat damage that would be dealt by target attacker this combat.	Mtenda Lion	
	Create a 1/1 black Rat creature token. Blockers may be reassigned.	Muck Rats	
	Tap and remove from combat all creatures without flying. Their controller may pay 2 for each creature to ignore this effect.	Mudslide	
	Target player discards a card at random unless he or she pays 1 and 1 life.	Mundungu	
	Pay half your life rounded up. Destroy target nonblack creature in combat. It can't be regenerated.	Murderous Betrayal	
	Target attacker gets +2/+0 this combat if it isn't blocked.	Murk Dwellers	
	Creatures in combat get +1/+1 until end of turn.	Muscle Sliver	
	Destroy target creature in combat unless its controller pays 1d6.	Musician	
	Target creature in combat has power and toughness this turn each equal to 1 plus 2d6.	Mwonvuli Ooze	
	Until end of turn, whenever a creature with power 5 or greater dies, you gain 5 life.	Mycoid Shepherd	
	Target land becomes the basic land type of your choice this combat.	Mystic Compass	
	Creatures lose flying and islandwalk this combat.	Mystic Decree	
	Choose one - Put a creature from combat into its owners graveyard; or Target opponent reveals his or her hand and discards a sorcery card.	Mystic Denial	
	Target creature in combat gets +2/+2 this turn.	Mystic Might	
	Draw a card unless any opponent pays 4.	Mystic Remora	
	Target creature in combat has shroud this combat. This effect may not be responded to.	Mystic Veil	
	Search your library for an instant or sorcery card and reveal that card. Shuffle your library, then put the card on top of it.	Mystical Tutor	
	Whenever a white spell is played this combat, untap target permanent.	Nacre Talisman	
	Whenever a creature deals damage to a player until end of turn, that player loses 1 life unless he or she pays 1.	Naf's Asp	
	If tapped for mana this combat, Plains produce R, Islands produce G, Swamps produce W, Mountains produce U, and Forests produce B instead of any other type.	Naked Singularity	
	Pay any amount of life. The amount you pay can't be more than the total number of white nontoken permanents your opponents control plus the total number of white cards in their graveyards. Target creature you control in combat gets power and toughness each equal to the life paid.	Nameless Race	
	Target creature in combat gets +2/+2 this turn.	Nantuko Disciple	
	Sacrifice a creature. Target creature in combat gets +2/+2 this turn.	Nantuko Husk	
	Create a 2/2 blue Whale creature token with first strike and protection from red. Blockers may be reassigned	Narwhal	
	Lands controlled by players in combat become 2/2 creatures this combat that are still lands. Attackers and blockers may be reassigned.	Natural Affinity	
	Each player who controls six or more lands chooses five lands he or she controls and sacrifices the rest. Each player who controls four or fewer lands may search his or her library for X basic land cards and put them onto the battlefield, where X is five minus the number of lands he or she controls. Then each player who searched his or her library this way shuffles it.	Natural Balance	
	Sacrifice a green creature. Search your library for a green creature card and put it onto the battlefield. Then shuffle your library.	Natural Order	
	Look at the top three cards of target player's library and put them back in any order. You may have that player shuffle his or her library.	Natural Selection	
	Target player gains 8 life.	Natural Spring	
	Destroy target artifact or enchantment.	Naturalize	
	Discard a card. Target creature in combat gets a +1/+1 counter or gains banding, first strike, or trample. (This effect doesn't end.)	Nature's Blessing	
	Untap target artifact, creature, or land.	Nature's Chosen	
	Attacking Green creatures gain forestwalk this combat.	Nature's Cloak	
	Remove the top 1d6 cards in your graveyard from the game. Target creature in combat gets +1/+1 this turn for each card removed this way.	Nature's Kiss	
	Search your library for a Forest card and put that card onto the battlefield. Then shuffle your library.	Nature's Lore	
