		Whenever a creature with a Chaos counter on it attacks, all creatures with Chaos counters on them attack if able. Whenever a creature with a Chaos counter on it attacks, all creatures with Chaos counters on them block that creature if able. 1, Tap an untapped permanent you control: Put a Chaos counter on target creature. When this effect leaves play, exile all Chaos counters.	Magnetic Web		
		All creatures have haste and their power and toughness are each equal to the number of sorcery cards in all graveyards.	Magnivore		
		At the beginning of your upkeep, untap target artifact an opponent controls and gain control of it until end of turn. If it's an artifact creature, it gains haste until end of turn. When you lose control of the artifact, tap it.	Magus of the Unseen		
		At the beginning of your upkeep, create a 5/6 blue Djinn creature token with flying.	Mahamoti Djinn		
		Whenever a green spell is played, you may pay 3. If you do, untap target permanent.	Malachite Talisman		
		At the beginning of your upkeep, put a Chaos counter onto the battlefield. At the beginning of your draw step, draw a card for each Chaos counter on the battlefield, then Chaos deals damage to you equal to the number of cards you drew this way. When this effect leaves play, exile all Chaos counters.	Malignant Growth		
		Creatures lose flying. Whenever creatures that lost flying in this way block or become blocked by a creature, the other creature gains first strike until end of turn.	Mammoth Harness		
		Whenever a player plays a spell, that player returns a land he or she controls to its owner's hand.	Mana Breach		
		Creatures have Cumulative upkeep-1.	Mana Chains		
		R: You and target opponent each roll a die. Chaos deals 1 damage to each player whose die roll is odd. Repeat this process until both players' die rolls come up even on the same roll. Play this effect as a sorcery.	Mana Clash		
		UU: Counter target spell. At the beginning of your next main phase, add X to your mana pool, where X is that spell's converted mana cost.	Mana Drain		
		Whenever a player taps a land for mana, that player adds one mana of that type to his or her mana pool.	Mana Flare		
		1U: Counter target spell unless its controller pays 3.	Mana Leak		
		Instant and enchantment spells cost up to 2 less to play.	Mana Matrix		
		Play this effect only once per turn. Tap an untapped permanent you control: Choose one - Add 1 to your mana pool; or 1: Add one mana of any color to your mana pool.	Mana Prism		
		1U: Search your library for any number of land cards and exile them. Then shuffle your library.	Mana Severance		
		At the beginning of your upkeep, tap all lands target player controls and that player loses all unspent mana. This effect may not be responded to.	Mana Short		
		At the beginning of your upkeep, add 3 to your mana pool. This mana doesn't empty until end of turn. At the beginning of your draw step, if you do not pay 4, Chaos deals 1 damage to you.	Mana Vault		
		When this effect comes into play, each player sacrifices a land. At the beginning of your upkeep, sacrifice a land.	Mana Vortex		
		Whenever you tap a land for mana, tap all lands you control that can produce any type of mana that land could produce.	Mana Web		
		Whenever a player taps a land for mana, Chaos deals 1 damage to that player. 	Manabarbs		
		Tap an untapped artifact you control: Add 1 to your mana pool.	Manakin		
		2W: You gain 5 life. Whenever a spell or ability an opponent controls causes you to discard a card from your hand, you gain 2 life, and you return that card from your graveyard to your hand at end of turn.	Mangara's Blessing		
		Roll 1d6. Even-black, Odd-red. Whenever a creature of the rolled color deals damage to you or a white creature you control, Chaos deals X damage to that creature, where X is equal to the damage dealt to you or the white creature.	Mangara's Equity		
		Search your library for five cards. Exile those cards face down, then shuffle them. Then shuffle your library. 2: The next time you would draw a card this turn, instead put the top card you exiled with this effect into your hand.	Mangara's Tome		
		Creatures get +2/+2 and can't block.	Maniacal Rage		
		Whenever a creature enters the battlefield under your control, return target creature to its owner's hand.	Man-o'-War		
		Creatures can't attack unless defending player controls an Island. Creatures can't be blocked except by blue creatures. When you control no Islands, sacrifice your creatures.	Manta Ray		
		Creatures have flying.	Manta Riders		
		2: Creatures you control gain flying until end of turn. 2: Creatures you control gain first strike until end of turn.	Mantis Engine		
		Creatures you control have power and toughness each equal to the number of untapped artifacts, creatures, and lands you control.	Maraxus of Keld		
		Artifacts come onto the battlefield tapped. Tap an untapped permanent you control: Add W to your mana pool. Play this effect only once per turn.	Marble Diamond		
		Walls able to block must do so. Prevent all combat damage that would be dealt by Walls.	Marble Priest		
		Creatures with power 3 or greater don't untap during their controllers' untap steps.	Marble Titan		
		Each noncreature artifact is an artifact creature with power and toughness each equal to its converted mana cost. (Equipment that's a creature can't equip a creature.)	March of the Machines		
		At the beginning of your upkeep, create a 4/6 red and green Elf Warrior creature token with rampage 1.	Marhault Elsdragon		
		At the beginning of your upkeep, create a 2/4 red, white, and green Cat Warrior creature token with double strike.	Marisi's Twinclaws		
		Creatures don't untap during your untap step. Creatures can't attack unless defending player controls an Island. When you control no Islands, sacrifice your creatures. UU, Sacrifice a creature: Untap a creature you control. Play this effect only during your upkeep. UU: Target creature you control gets -1/-0 until end of turn and deals 1 damage to target attacking creature without flying.	Marjhan		
		Your creatures have power and toughness each equal to the number of cards in your hand.	Maro		
		Creatures have devour 2. When a creature enters the battlefield under your control, you gain 2 life for each creature it devoured.	Marrow Chomper		
		Creatures have -2/-0.	Marsh Gas		
		At the beginning of your upkeep, create a 1/1 black and red Goblin creature token with swampwalk.	Marsh Goblins		
		Sacrifice a Swamp: Creatures you control gain fear until end of turn. (It can't be blocked except by artifact creatures and/or black creatures.)	Marsh Lurker		
		Whenever a creature deals damage to a player, that player gets two poison counters. (A player with ten or more poison counters loses the game.)	Marsh Viper		
		1G: Tap any number of untapped creatures you control. You gain 4 life for each creature tapped this way. Play this effect as a sorcery.	Marshaling the Troops		
		Whenever the creature you control with the lowest power attacks, other attacking creatures get +1/+1 until end of turn for each attacking creature other than the first one. Whenever the creature you control with the lowest toughness blocks, other blocking creatures get +1/+1 until end of turn for each blocking creature other than the first one.	Marton Stromgald		
		0: The next 1 damage that would be dealt to target creature or player this turn is dealt to target creature you control instead.	Martyrdom		
		At the beginning of your upkeep, exile all white creatures. For each white creature exiled this way, its controller draws a card.	Martyr's Cry		
		Damage that would be dealt to you by artifacts is dealt to an untapped creature you control instead.	Martyrs of Korlis		
		Creatures have fear. Whenever a creature you control deals combat damage to a player, draw a card.	Mask of Riddles		
		At the beginning of your upkeep, create a 5/3 black Zombie Warrior creature token.	Mass of Ghouls		
