	Target player discards a card at random. Add X to your mana pool at your first main phase, where X is that cards converted mana cost.	Mana Drain	
	Whenever a player taps a land for mana this turn, that player adds one mana of that type to his or her mana pool.	Mana Flare	
	Target opponent does one: Discard a card at random; or pay 3.	Mana Leak	
	Instant and enchantment spells cost up to 2 less to play this turn.	Mana Matrix	
	Tap a permanent you control. Choose one - Add 1 to your mana pool; or Add one mana of any color to your mana pool.	Mana Prism	
	Search your library for 1d6 land cards and exile them. Then shuffle your library.	Mana Severance	
	Tap all lands target player controls and that player loses all unspent mana. This effect may not be responded to.	Mana Short	
	At the beginning of your upkeep, add 3 to your mana pool. This mana doesn't empty until end of turn. At the beginning of your draw step, if you do not pay 4, Chaos deals 1 damage to you.	Mana Vault	
	Each player sacrifices a land. Sacrifice a land.	Mana Vortex	
	Whenever a land is tapped for mana this turn, tap all lands that player controls that can produce any type of mana that land could produce.	Mana Web	
	Whenever a player taps a land for mana this turn, Chaos deals 1 damage to that player. 	Manabarbs	
	Add 1 to your mana pool during your first main phase.	Manakin	
	You gain 5 life. Whenever a spell or ability an opponent controls causes you to discard a card from your hand this turn, you gain 2 life, and you return that card from your graveyard to your hand at end of turn.	Mangara's Blessing	
	Roll 1d6. Even-black, Odd-red. Whenever a creature of the rolled color deals damage to a player or a white creature this turn, Chaos deals X damage to that creature, where X is equal to the damage it dealt.	Mangara's Equity	
	Search your library for five cards. Remove those cards from the game face down, then shuffle them. Then shuffle your library. If you would draw a card this turn, instead put the top card you removed from the game with this effect into your hand. Any cards not drawn by end of turn stay removed.	Mangara's Tome	
	Target creature gets +2/+2 and can't block this turn.	Maniacal Rage	
	Whenever a creature comes onto the battlefield this turn, return target creature to its owner's hand.	Man-o'-War	
	Target creature you control can't attack unless defending player controls an Island. Target creature you control can't be blocked except by blue creatures. If you control no Islands, sacrifice a creature.	Manta Ray	
	Target creature you control gains flying this turn.	Manta Riders	
	Target creature you control gains flying and first strike this turn.	Mantis Engine	
	Target creature you control has power and toughness each equal to the number of untapped artifacts, creatures, and lands you control.	Maraxus of Keld	
	Add W to your mana pool.	Marble Diamond	
	All Walls able to block this turn must do so. Prevent all combat damage that would be dealt by Walls this turn.	Marble Priest	
	Creatures you control with power 3 or greater don't untap during your untap step.	Marble Titan	
	Each noncreature artifact is an artifact creature with power and toughness each equal to its converted mana cost until end of turn. (Equipment that's a creature can't equip a creature.)	March of the Machines	
	Create a 4/6 red and green Elf Warrior creature token with rampage 1.	Marhault Elsdragon	
	Create a 2/4 red, white, and green Cat Warrior creature token with double strike.	Marisi's Twinclaws	
	Tap all creatures. Sacrifice a creature. If you control no Islands, sacrifice another creature. Untap a creature you control. That creature can't attack unless defending player controls an Island. That creature gets -1/-0 this combat and deals 1 damage to target creature without flying.	Marjhan	
	Target creature you control has power and toughness this turn each equal to the number of cards in your hand.	Maro	
	Creatures have devour 2 this turn. When a creature enters the battlefield under your control this turn, you gain 2 life for each creature it devoured.	Marrow Chomper	
	Creatures get -2/-0 this turn.	Marsh Gas	
	Create a 1/1 black and red Goblin creature token with swampwalk.	Marsh Goblins	
	Sacrifice a Swamp. Target creature you control gain fear this turn. (It can't be blocked except by artifact creatures and/or black creatures.)	Marsh Lurker	
	Whenever target creature you control deals damage to a player this turn, that player gets two poison counters. (A player with ten or more poison counters loses the game.)	Marsh Viper	
	Tap any number of untapped creatures you control. You gain 4 life for each creature tapped this way.	Marshaling the Troops	
	Whenever the creature you control with the lowest power attacks, other attacking creatures get +1/+1 this turn for each attacking creature other than the first one. Whenever the creature with the lowest toughness in the game blocks, other blocking creatures get +1/+1 this turn for each blocking creature other than the first one.	Marton Stromgald	
	The next 1d6 damage that would be dealt to target creature or player this turn is dealt to target creature you control instead.	Martyrdom	
	Remove all white creatures from the game. For each white creature removed this way, its controller draws a card.	Martyr's Cry	
	All damage that would be dealt to you by artifacts this turn is dealt to an untapped creature you control instead.	Martyrs of Korlis	
	Target creature you control has fear this turn. Whenever that creature deals combat damage to a player this turn, draw a card.	Mask of Riddles	
	Create a 5/3 black Zombie Warrior creature token.	Mass of Ghouls	
	Tap a creature you don't control.	Master Decoy	
	Prevent the next 4 damage that would be dealt to you or target creature you control this turn	Master Healer	
	Tap target untapped creature you don't control. Prevent all combat damage it would deal this turn.	Master of Arms	
	Create a 1/1 green Wolf creature token that bands with other Wolves.	Master of the Hunt	
	Regenerate target creature you control. When it regenerates this way, put a -1/-1 counter on it.	Matopi Golem	
	Chaos deals 1 damage to target creature or player.	Mawcor	
	Put a +1/+1 counter on each creature you control if you control a creature with power 5 or greater. Then you gain 10 life if you control a creature with power 10 or greater. Then you win the game if you control a creature with power 20 or greater.	Mayael's Aria	
	Prevent all combat damage that would be dealt to and dealt by target creature you control this turn.	Maze of Ith	
	Creatures with shadow can't attack this turn.	Maze of Shadows	
	Look at target players hand. Play an instant or sorcery card from their hand without paying its mana cost. You choose all targets and it may be countered.	Meddle	
	Create a 2/2 white and blue Human Wizard creature token with "As this enters the battlefield, choose a nonland card name. Spells with the chosen name can’t be cast."	Meddling Mage	
	Draw four cards. Skip this turn.	Meditate	
	Your creatures with power 3 or greater don't untap during your next untap step.	Meekstone	
	Whenever an opponent discards a card this turn, Chaos deals 2 damage to that player.	Megrim	
	Instead of defending player, you choose how each creature blocks this turn. Whenever a creature attacks and isn't blocked this turn, untap it and remove it from combat.	Melee	
	Create a 3/3 white Angel Spirit creature token with flying and protection from black.	Melesse Spirit	
	Lands are no longer snow this turn.	Melting	
	Target player puts a card at random from their hand on top of their library.	Memory Lapse	
	Prevent the next 4 damage that would be dealt to target creature or player this turn.	Mending Hands	
	Green creatures you control get +1/+1 this turn.	Meng Huo, Barbarian King	
	Create a 4/5 green Human Soldier creature token.	Meng Huo's Horde	
	Prevent all damage that would be dealt to you this turn by target creature.	Mercenaries	
	Whenever a creature comes onto the battlefield this turn, sacrifice it unless you discard a creature card.	Mercenary Knight	
